approx,basic_nvbt601,basic_nvbt709,basic_intel601,basic_intel709,fma_nvbt601,fma_nvbt709,fma_intel601,fma_intel601fp16,fma_intel709
0.389889,0.0655087,0.0647741,0.0244187,0.0668233,0.148346,0.0647741,0.0244187,0.0285467,0.0668233
0.235294,0.0803306,0.0802062,0.0130112,0.081422,0.141476,0.0802062,0.0130112,0.0142723,0.081422
0.250086,0.0738903,0.0720696,0.0405094,0.0737089,0.140984,0.0720696,0.0405094,0.0402631,0.0737089
0.265943,0.0749284,0.0747113,0.0263005,0.0761487,0.140815,0.0747113,0.0263005,0.0214368,0.0761487
0.341064,0.0832432,0.0804997,0.0599523,0.0822629,0.156212,0.0804997,0.0599523,0.0645046,0.0822629
0.366035,0.150514,0.139767,0.125297,0.141335,0.222284,0.139767,0.125297,0.124885,0.141335
0.310272,0.0915099,0.0867362,0.0670669,0.0877778,0.159855,0.0867362,0.0670669,0.0693774,0.0877778
0.317343,0.0649732,0.0649732,0.00307113,0.0669416,0.142233,0.0649732,0.00307113,0.0126996,0.0669416
0.347421,0.0953005,0.092392,0.0509308,0.094298,0.16986,0.092392,0.0509308,0.0473215,0.094298
1.48146,0.591134,0.541785,0.47739,0.534445,0.409398,0.541785,0.47739,0.479958,0.534445
0.450903,0.158153,0.146343,0.123424,0.14778,0.232303,0.146343,0.123424,0.124086,0.14778
0.732512,0.0912373,0.089315,0.0440472,0.0884679,0.166083,0.089315,0.0440472,0.0449737,0.0884679
0.533786,0.0637343,0.0626545,0.0291167,0.0645063,0.149418,0.0626545,0.0291167,0.0204722,0.0645063
0.480797,0.130788,0.122757,0.106387,0.122743,0.189693,0.122757,0.106387,0.100886,0.122743
0.475209,0.0963174,0.0916918,0.0573824,0.0929793,0.166867,0.0916918,0.0573824,0.0551202,0.0929793
0.696413,0.266912,0.244689,0.223425,0.242637,0.239187,0.244689,0.223425,0.223195,0.242637
0.500513,0.236191,0.221597,0.195466,0.222108,0.281442,0.221597,0.195466,0.196176,0.222108
0.524101,0.0610801,0.0598172,0.0304232,0.0613162,0.142042,0.0598172,0.0304232,0.0300617,0.0613162
0.582683,0.326764,0.301168,0.341042,0.302856,0.412316,0.301168,0.341042,0.342998,0.302856
0.947303,0.233161,0.213992,0.188088,0.210408,0.178402,0.213992,0.188088,0.192512,0.210408
0.368637,0.105644,0.101589,0.0572755,0.10318,0.174159,0.101589,0.0572755,0.0573517,0.10318
